"CURR_ID","CURR_NAME","CURR_NAME_EN","UNIV_NAME_TH","LEV_NAME_TH","TOTAL_PLAN"
"25631541100029","หลักสูตรศิลปศาสตรบัณฑิต สาขาวิชาภาษาจีน","Bachelor of Arts Program in Chinese","มหาวิทยาลัยราชภัฏเพชรบูรณ์","ปริญญาตรี","35"
"25491391105015","หลักสูตรครุศาสตรบัณฑิต สาขาวิชาสังคมศึกษา  (4 ปี)","Bachelor of Education Program in Social Studies","มหาวิทยาลัยราชภัฏกาญจนบุรี","ปริญญาตรี","60"
"25501391105387","หลักสูตรครุศาสตรบัณฑิต สาขาวิชาคณิตศาสตร์ (4 ปี)","Bachelor of Education Program in Mathematics","มหาวิทยาลัยราชภัฏกาญจนบุรี","ปริญญาตรี","60"
"25501391105376","หลักสูตรครุศาสตรบัณฑิต สาขาวิชาวิทยาศาสตร์ทั่วไป (4 ปี)","Bachelor of Education Program in General Scinece","มหาวิทยาลัยราชภัฏกาญจนบุรี","ปริญญาตรี","60"
"25501391105376","หลักสูตรครุศาสตรบัณฑิต สาขาวิชาวิทยาศาสตร์ทั่วไป (4 ปี)","Bachelor of Education Program in General Scinece","มหาวิทยาลัยราชภัฏกาญจนบุรี","ปริญญาตรี","60"
"25501391105387","หลักสูตรครุศาสตรบัณฑิต สาขาวิชาคณิตศาสตร์ (4 ปี)","Bachelor of Education Program in Mathematics","มหาวิทยาลัยราชภัฏกาญจนบุรี","ปริญญาตรี","60"
"25491391105015","หลักสูตรครุศาสตรบัณฑิต สาขาวิชาสังคมศึกษา  (4 ปี)","Bachelor of Education Program in Social Studies","มหาวิทยาลัยราชภัฏกาญจนบุรี","ปริญญาตรี","60"
"25610141100026","หลักสูตรศิลปศาสตรบัณฑิต สาขาวิชานวัตกรรมบริการดิจิทัล","Bachelor of Arts Program in Digital Service Innovation","มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี","ปริญญาตรี","30"
"25380141100626","หลักสูตรวิทยาศาสตรมหาบัณฑิต สาขาวิชาเทคโนโลยีสารสนเทศ","Master of Science Program in Information Technology","มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี","ปริญญาโท","10"
"25501711110478","หลักสูตรครุศาสตรบัณฑิต สาขาวิชาสังคมศึกษา ( 4 ปี)","Bachelor of Education Program in Social Studies","มหาวิทยาลัยราชภัฏอุบลราชธานี","ปริญญาตรี","60"
"25511711108047","หลักสูตรครุศาสตรบัณฑิต สาขาวิชาการประถมศึกษา(4 ปี)","Bachelor of Education Program in Elementary Education","มหาวิทยาลัยราชภัฏอุบลราชธานี","ปริญญาตรี","60"
"25501711110478","หลักสูตรครุศาสตรบัณฑิต สาขาวิชาสังคมศึกษา ( 4 ปี)","Bachelor of Education Program in Social Studies","มหาวิทยาลัยราชภัฏอุบลราชธานี","ปริญญาตรี","60"
"25491561110289","หลักสูตรครุศาสตรบัณฑิต สาขาวิชาพลศึกษา (4ปี)","Bachelor of Education Program in Physical Education","มหาวิทยาลัยราชภัฏมหาสารคาม","ปริญญาตรี","60"
"25481691101349","หลักสูตรครุศาสตรบัณฑิต สาขาวิชาวิทยาศาสตร์ทั่วไปและฟิสิกส์ (4 ปี)","Bachelor of  Education Program in General Science and Physics","มหาวิทยาลัยราชภัฏอุดรธานี","ปริญญาตรี","60"
